"","inc1.male_fit","inc2.male_fit","inc3.4.male_fit","incidence.rate.male_fit","LG.male_fit","BC.death.male_fit","inc1.fem_fit","inc2.fem_fit","inc3.4.fem_fit","incidence.rate.fem_fit","LG.fem_fit","BC.death.female_fit"
"1",-91921392.2227957,-3008.11457519278,-8738.58431165654,-28800794.1703607,-19434.2889445175,-3832806.53665039,-263182978.25214,-584.295032048841,-2699.22760797172,-83643376.47017,-36439.4313650995,-17111473.742278
"2",-351664114.503835,-3008.11457519278,-8738.58431165654,-112894480.696805,-27550.3091266106,-14715330.8853967,-886468495.321756,-584.295032048841,-2699.22760797172,-286596627.434108,-66525.5379189991,-23399417.0923394
"3",-26580689.4250084,-3008.11457519278,-8738.58431165654,-8242764.93290668,-23475.7377840333,-25005020.6602862,-30171329.7026895,-584.295032048841,-2699.22760797172,-9231894.63822596,-7298.8697301686,-5309012.63880778
"4",-93109234.1974394,-3008.11457519278,-8738.58431165654,-29199123.3556109,-19659.342491545,-3821739.7785332,-256884217.160153,-584.295032048841,-2699.22760797172,-82073166.9244511,-5771.27756548365,-10395678.911951
"5",-28318.4968130205,-3008.11457519278,-8738.58431165654,-20117.6009721186,-20988.6758935907,-21967.9358334981,-3559612.69802918,-584.295032048841,-2699.22760797172,-1096632.4833977,-6828.53909959911,-5246609.11141381
"6",-183908809.643337,-3008.11457519278,-8738.58431165654,-57459141.701208,-31241.89651789,-346582373.540436,-741557501.520176,-584.295032048841,-2699.22760797172,-228930138.731808,-78288.6174533189,-137650969.075462
"7",-360376845.17433,-3008.11457519278,-8738.58431165654,-115485926.948528,-351288.459338713,-14886375.1082921,-845932260.036885,-584.295032048841,-2699.22760797172,-273220852.288279,-928933.61492848,-23172387.7492484
"8",-17840288.2101949,-3008.11457519278,-8738.58431165654,-5560671.45703624,-20429.2725494105,-78750.8679611445,-13596300.106418,-584.295032048841,-2699.22760797172,-4132243.28843729,-15649.8456815955,-2960529.93988172
"9",-929113977.997971,-3008.11457519278,-8738.58431165654,-290670916.05322,-19566.8902099832,-258249634.779782,-1010774154.97083,-584.295032048841,-2699.22760797172,-311558414.21567,-2950379.5352231,-68582827.2496522
"10",-276555490.444687,-3008.11457519278,-8738.58431165654,-86273097.1210138,-1366913.144867,-71470947.9429595,-1006438223.74926,-584.295032048841,-2699.22760797172,-309626058.328094,-1543729.01266245,-105625749.643171
